id,name,price
112,Ground Beef Salad,8.19
113,Tortilla Chips,2.19
114,Can,2.0
115,Vegetables Bowl,7.29
116,Tortilla Chips,2.19
117,16oz Cup,2.09
118,Vegetables Bowl,7.29
119,16oz Cup,2.09
120,Chicken Tacos,7.29
121,Vegetables Tacos,7.29
122,Chicken Burrito,7.29
123,16oz Cup,2.09
124,Ground Beef Bowl,8.19
125,Tortilla Chips,2.19
126,32oz Cup,2.29
127,Ground Beef Bowl,8.19
128,16oz Cup,2.09
129,Vegetables Tacos,7.29
130,Can,2.0
131,Chicken Bowl,7.29
132,Chicken Tacos,7.29
133,Tortilla Chips,2.19
134,Can,2.0
135,Steak Bowl,8.29
136,Can,2.0
137,Vegetables Salad,7.29
138,Ground Beef Burrito,8.19
139,Chicken Tacos,7.29
140,Tortilla Chips,2.19
141,Can,2.0
142,Ground Beef Salad,8.19
143,16oz Cup,2.09
144,Steak Burrito,8.29
145,Chicken Burrito,7.29
146,Tortilla Chips,2.19
147,Can,2.0
148,Vegetables Tacos,7.29
149,16oz Cup,2.09
150,Vegetables Bowl,7.29
151,32oz Cup,2.29
152,Steak Bowl,8.29
153,Ground Beef Salad,8.19
154,16oz Cup,2.09
155,Ground Beef Salad,8.19
156,16oz Cup,2.09
157,Chicken Bowl,7.29
158,Vegetables Bowl,7.29
159,Chicken Tacos,7.29
160,Can,2.0
161,Steak Bowl,8.29
162,Tortilla Chips,2.19
163,32oz Cup,2.29
164,Steak Bowl,8.29
165,Steak Tacos,8.29
166,Tortilla Chips,2.19
167,32oz Cup,2.29
168,Steak Bowl,8.29
169,Tortilla Chips,2.19
170,32oz Cup,2.29
171,Ground Beef Salad,8.19
172,Can,2.0
173,Ground Beef Burrito,8.19
174,Can,2.0
175,Chicken Salad,7.29
176,Can,2.0
177,Steak Salad,8.29
178,16oz Cup,2.09
179,Ground Beef Burrito,8.19
180,32oz Cup,2.29
181,Ground Beef Tacos,8.19
182,Vegetables Tacos,7.29
183,32oz Cup,2.29
184,Chicken Tacos,7.29
185,Chicken Tacos,7.29
186,Chicken Burrito,7.29
187,Can,2.0
188,Vegetables Tacos,7.29
189,Tortilla Chips,2.19
190,16oz Cup,2.09
191,Steak Bowl,8.29
192,Chicken Tacos,7.29
193,16oz Cup,2.09
194,Steak Tacos,8.29
195,Can,2.0
196,Ground Beef Burrito,8.19
197,32oz Cup,2.29
198,Steak Bowl,8.29
199,Chicken Salad,7.29
200,Can,2.0
201,Chicken Salad,7.29
202,32oz Cup,2.29
203,Ground Beef Bowl,8.19
204,Tortilla Chips,2.19
205,32oz Cup,2.29
206,Chicken Bowl,7.29
207,Steak Burrito,8.29
208,16oz Cup,2.09
209,Chicken Bowl,7.29
210,Tortilla Chips,2.19
211,16oz Cup,2.09
212,Ground Beef Tacos,8.19
213,32oz Cup,2.29
214,Ground Beef Burrito,8.19
215,32oz Cup,2.29
216,Ground Beef Tacos,8.19
217,16oz Cup,2.09
218,Steak Bowl,8.29
219,32oz Cup,2.29
220,Chicken Tacos,7.29
221,Tortilla Chips,2.19
222,16oz Cup,2.09
223,Ground Beef Salad,8.19
224,32oz Cup,2.29
225,Vegetables Salad,7.29
226,Tortilla Chips,2.19
227,Can,2.0
228,Vegetables Salad,7.29
229,Chicken Tacos,7.29
230,Steak Salad,8.29
231,Can,2.0
232,Ground Beef Bowl,8.19
233,32oz Cup,2.29
234,Vegetables Salad,7.29
235,Can,2.0
236,Ground Beef Burrito,8.19
237,16oz Cup,2.09
238,Steak Burrito,8.29
239,Vegetables Burrito,7.29
240,Vegetables Bowl,7.29
241,Vegetables Salad,7.29
242,Steak Burrito,8.29
243,Ground Beef Bowl,8.19
244,16oz Cup,2.09
245,Vegetables Salad,7.29
246,Steak Tacos,8.29
247,16oz Cup,2.09
248,Vegetables Tacos,7.29
249,Can,2.0
250,Ground Beef Bowl,8.19
251,Ground Beef Salad,8.19
252,Vegetables Bowl,7.29
253,Can,2.0
254,Steak Bowl,8.29
255,Steak Bowl,8.29
256,Tortilla Chips,2.19
257,16oz Cup,2.09
258,Chicken Tacos,7.29
259,Tortilla Chips,2.19
260,Can,2.0
261,Vegetables Burrito,7.29
262,Steak Burrito,8.29
263,Can,2.0
264,Ground Beef Bowl,8.19
265,Vegetables Salad,7.29
266,32oz Cup,2.29
267,Steak Salad,8.29
268,Chicken Burrito,7.29
269,32oz Cup,2.29
270,Vegetables Tacos,7.29
271,32oz Cup,2.29
272,Ground Beef Tacos,8.19
273,16oz Cup,2.09
274,Chicken Salad,7.29
275,Tortilla Chips,2.19
276,Can,2.0
277,Vegetables Bowl,7.29
278,Ground Beef Burrito,8.19
279,Tortilla Chips,2.19
280,Can,2.0
281,Chicken Tacos,7.29
282,Chicken Bowl,7.29
283,32oz Cup,2.29
284,Vegetables Burrito,7.29
285,Vegetables Salad,7.29
286,Tortilla Chips,2.19
287,16oz Cup,2.09
288,Vegetables Tacos,7.29
289,Chicken Tacos,7.29
290,Steak Burrito,8.29
291,Ground Beef Salad,8.19
292,Vegetables Salad,7.29
293,Can,2.0
294,Chicken Salad,7.29
295,Ground Beef Burrito,8.19
296,Tortilla Chips,2.19
297,32oz Cup,2.29
298,Ground Beef Bowl,8.19
299,Can,2.0
300,Ground Beef Tacos,8.19
301,Ground Beef Burrito,8.19
302,Ground Beef Tacos,8.19
303,Tortilla Chips,2.19
304,16oz Cup,2.09
305,Vegetables Burrito,7.29
306,Tortilla Chips,2.19
307,16oz Cup,2.09
308,Vegetables Tacos,7.29
309,16oz Cup,2.09
310,Ground Beef Tacos,8.19
311,Vegetables Salad,7.29
312,32oz Cup,2.29
313,Vegetables Tacos,7.29
314,32oz Cup,2.29
315,Chicken Bowl,7.29
316,16oz Cup,2.09
317,Ground Beef Burrito,8.19
318,Vegetables Salad,7.29
319,16oz Cup,2.09
320,Chicken Burrito,7.29
321,Vegetables Bowl,7.29
322,Ground Beef Salad,8.19
323,Steak Tacos,8.29
324,Tortilla Chips,2.19
325,16oz Cup,2.09
326,Vegetables Bowl,7.29
327,Ground Beef Bowl,8.19
328,Ground Beef Salad,8.19
329,32oz Cup,2.29
330,Ground Beef Tacos,8.19
331,32oz Cup,2.29
332,Steak Bowl,8.29
333,32oz Cup,2.29
334,Steak Salad,8.29
335,Chicken Salad,7.29
336,Tortilla Chips,2.19
337,32oz Cup,2.29
338,Vegetables Bowl,7.29
339,Can,2.0
340,Steak Tacos,8.29
341,Tortilla Chips,2.19
342,32oz Cup,2.29
343,Chicken Salad,7.29
344,Steak Burrito,8.29
345,Steak Tacos,8.29
346,Steak Tacos,8.29
347,Vegetables Burrito,7.29
348,Tortilla Chips,2.19
349,16oz Cup,2.09
350,Chicken Bowl,7.29
351,Ground Beef Salad,8.19
352,Chicken Tacos,7.29
353,32oz Cup,2.29
354,Ground Beef Salad,8.19
355,Vegetables Bowl,7.29
356,16oz Cup,2.09
357,Ground Beef Tacos,8.19
358,Chicken Bowl,7.29
359,Steak Salad,8.29
360,Can,2.0
361,Chicken Burrito,7.29
362,16oz Cup,2.09
363,Chicken Salad,7.29
364,Steak Burrito,8.29
365,Vegetables Salad,7.29
366,Vegetables Bowl,7.29
367,Tortilla Chips,2.19
368,Can,2.0
369,Vegetables Bowl,7.29
370,Ground Beef Tacos,8.19
371,Ground Beef Tacos,8.19
372,Ground Beef Burrito,8.19
373,Can,2.0
374,Chicken Salad,7.29
375,Tortilla Chips,2.19
376,16oz Cup,2.09
377,Ground Beef Burrito,8.19
378,16oz Cup,2.09
379,Steak Tacos,8.29
380,16oz Cup,2.09
381,Steak Bowl,8.29
382,Steak Salad,8.29
383,Ground Beef Tacos,8.19
384,16oz Cup,2.09
385,Chicken Bowl,7.29
386,16oz Cup,2.09
387,Chicken Bowl,7.29
388,Tortilla Chips,2.19
389,Can,2.0
390,Vegetables Tacos,7.29
391,Ground Beef Tacos,8.19
392,Tortilla Chips,2.19
393,16oz Cup,2.09
394,Vegetables Burrito,7.29
395,Tortilla Chips,2.19
396,16oz Cup,2.09
397,Chicken Salad,7.29
398,Ground Beef Bowl,8.19
399,Chicken Burrito,7.29
400,Tortilla Chips,2.19
401,16oz Cup,2.09
402,Ground Beef Salad,8.19
403,Vegetables Salad,7.29
404,Ground Beef Tacos,8.19
405,32oz Cup,2.29
406,Vegetables Salad,7.29
407,16oz Cup,2.09
408,Ground Beef Tacos,8.19
409,Tortilla Chips,2.19
410,Can,2.0
411,Steak Tacos,8.29
412,32oz Cup,2.29
413,Ground Beef Burrito,8.19
414,16oz Cup,2.09
415,Ground Beef Tacos,8.19
416,Tortilla Chips,2.19
417,32oz Cup,2.29
418,Ground Beef Bowl,8.19
419,Can,2.0
420,Steak Burrito,8.29
421,32oz Cup,2.29
422,Steak Salad,8.29
423,Chicken Bowl,7.29
424,Ground Beef Tacos,8.19
425,Can,2.0
426,Ground Beef Bowl,8.19
427,Ground Beef Bowl,8.19
428,Ground Beef Burrito,8.19
429,Steak Bowl,8.29
430,16oz Cup,2.09
431,Chicken Bowl,7.29
432,Vegetables Tacos,7.29
433,32oz Cup,2.29
434,Steak Burrito,8.29
435,Chicken Salad,7.29
436,Vegetables Tacos,7.29
437,16oz Cup,2.09
438,Chicken Burrito,7.29
439,Tortilla Chips,2.19
440,Can,2.0
441,Steak Salad,8.29
442,Can,2.0
443,Steak Tacos,8.29
444,16oz Cup,2.09
445,Chicken Tacos,7.29
446,Steak Tacos,8.29
447,16oz Cup,2.09
448,Vegetables Salad,7.29
449,Chicken Bowl,7.29
450,Vegetables Tacos,7.29
451,Can,2.0
452,Ground Beef Burrito,8.19
453,Tortilla Chips,2.19
454,16oz Cup,2.09
455,Vegetables Tacos,7.29
456,Tortilla Chips,2.19
457,Can,2.0
458,Chicken Bowl,7.29
459,Steak Salad,8.29
460,Steak Burrito,8.29
461,Steak Tacos,8.29
462,32oz Cup,2.29
463,Ground Beef Burrito,8.19
464,Tortilla Chips,2.19
465,32oz Cup,2.29
466,Ground Beef Burrito,8.19
467,Steak Tacos,8.29
468,32oz Cup,2.29
469,Ground Beef Salad,8.19
470,Tortilla Chips,2.19
471,Can,2.0
472,Chicken Tacos,7.29
473,Can,2.0
474,Chicken Tacos,7.29
475,32oz Cup,2.29
476,Steak Bowl,8.29
477,Chicken Bowl,7.29
478,Ground Beef Bowl,8.19
479,Tortilla Chips,2.19
480,32oz Cup,2.29
481,Steak Tacos,8.29
482,Can,2.0
483,Chicken Tacos,7.29
484,32oz Cup,2.29
485,Chicken Bowl,7.29
486,16oz Cup,2.09
487,Steak Bowl,8.29
488,Tortilla Chips,2.19
489,32oz Cup,2.29
490,Chicken Salad,7.29
491,Tortilla Chips,2.19
492,16oz Cup,2.09
493,Chicken Salad,7.29
494,Tortilla Chips,2.19
495,16oz Cup,2.09
496,Vegetables Bowl,7.29
497,Tortilla Chips,2.19
498,32oz Cup,2.29
499,Chicken Salad,7.29
500,Can,2.0
501,Steak Bowl,8.29
502,Ground Beef Burrito,8.19
503,Ground Beef Salad,8.19
504,32oz Cup,2.29
505,Vegetables Bowl,7.29
506,Tortilla Chips,2.19
507,16oz Cup,2.09
508,Steak Tacos,8.29
509,Can,2.0
510,Ground Beef Bowl,8.19
511,Chicken Burrito,7.29
512,32oz Cup,2.29
513,Chicken Tacos,7.29
514,Tortilla Chips,2.19
515,Can,2.0
516,Chicken Salad,7.29
517,Ground Beef Burrito,8.19
518,Tortilla Chips,2.19
519,16oz Cup,2.09
520,Vegetables Salad,7.29
521,32oz Cup,2.29
522,Steak Tacos,8.29
523,Vegetables Salad,7.29
524,Can,2.0
525,Ground Beef Tacos,8.19
526,Tortilla Chips,2.19
527,16oz Cup,2.09
528,Steak Burrito,8.29
529,Chicken Tacos,7.29
530,Ground Beef Burrito,8.19
531,Chicken Burrito,7.29
532,Can,2.0
533,Vegetables Bowl,7.29
534,Steak Burrito,8.29
535,16oz Cup,2.09
536,Ground Beef Salad,8.19
537,Vegetables Tacos,7.29
538,Vegetables Tacos,7.29
539,32oz Cup,2.29
540,Vegetables Tacos,7.29
541,Tortilla Chips,2.19
542,Can,2.0
543,Vegetables Burrito,7.29
544,Tortilla Chips,2.19
545,16oz Cup,2.09
546,Vegetables Tacos,7.29
547,16oz Cup,2.09
548,Ground Beef Tacos,8.19
549,Tortilla Chips,2.19
550,16oz Cup,2.09
551,Chicken Bowl,7.29
552,Vegetables Burrito,7.29
553,Chicken Salad,7.29
554,Vegetables Salad,7.29
555,Tortilla Chips,2.19
556,32oz Cup,2.29
557,Vegetables Bowl,7.29
558,16oz Cup,2.09
559,Ground Beef Burrito,8.19
560,Vegetables Salad,7.29
561,Steak Burrito,8.29
562,Can,2.0
563,Steak Tacos,8.29
564,Tortilla Chips,2.19
565,16oz Cup,2.09
566,Steak Bowl,8.29
567,16oz Cup,2.09
568,Ground Beef Burrito,8.19
569,Can,2.0
570,Chicken Bowl,7.29
571,Vegetables Salad,7.29
572,Chicken Burrito,7.29
573,Steak Bowl,8.29
574,16oz Cup,2.09
575,Steak Burrito,8.29
576,Chicken Tacos,7.29
577,Steak Bowl,8.29
578,Vegetables Tacos,7.29
579,Ground Beef Salad,8.19
580,32oz Cup,2.29
581,Steak Bowl,8.29
582,Tortilla Chips,2.19
583,32oz Cup,2.29
584,Ground Beef Salad,8.19
585,Chicken Salad,7.29
586,16oz Cup,2.09
587,Ground Beef Salad,8.19
588,Tortilla Chips,2.19
589,32oz Cup,2.29
590,Steak Salad,8.29
591,16oz Cup,2.09
592,Vegetables Tacos,7.29
593,Tortilla Chips,2.19
594,16oz Cup,2.09
595,Steak Bowl,8.29
596,Chicken Burrito,7.29
597,Tortilla Chips,2.19
598,32oz Cup,2.29
599,Steak Burrito,8.29
600,Tortilla Chips,2.19
601,16oz Cup,2.09
602,Chicken Tacos,7.29
603,Tortilla Chips,2.19
604,Can,2.0
605,Ground Beef Tacos,8.19
606,16oz Cup,2.09
607,Chicken Bowl,7.29
608,16oz Cup,2.09
609,Steak Bowl,8.29
610,16oz Cup,2.09
611,Vegetables Burrito,7.29
612,Vegetables Salad,7.29
613,Vegetables Burrito,7.29
614,Tortilla Chips,2.19
615,16oz Cup,2.09
616,Ground Beef Bowl,8.19
617,Ground Beef Bowl,8.19
618,Chicken Bowl,7.29
619,Can,2.0
620,Ground Beef Burrito,8.19
621,Ground Beef Salad,8.19
622,16oz Cup,2.09
623,Vegetables Bowl,7.29
624,Tortilla Chips,2.19
625,32oz Cup,2.29
626,Vegetables Burrito,7.29
627,32oz Cup,2.29
628,Vegetables Salad,7.29
629,16oz Cup,2.09
630,Chicken Bowl,7.29
631,32oz Cup,2.29
632,Steak Burrito,8.29
633,Can,2.0
634,Chicken Bowl,7.29
635,32oz Cup,2.29
636,Steak Burrito,8.29
637,Ground Beef Salad,8.19
638,32oz Cup,2.29
639,Ground Beef Burrito,8.19
640,Ground Beef Salad,8.19
641,Tortilla Chips,2.19
642,16oz Cup,2.09
643,Ground Beef Bowl,8.19
644,Ground Beef Tacos,8.19
645,Vegetables Tacos,7.29
646,Steak Salad,8.29
647,Can,2.0
648,Chicken Tacos,7.29
649,Ground Beef Bowl,8.19
650,Can,2.0
651,Ground Beef Tacos,8.19
652,Tortilla Chips,2.19
653,32oz Cup,2.29
654,Vegetables Bowl,7.29
655,16oz Cup,2.09
656,Steak Burrito,8.29
657,Tortilla Chips,2.19
658,Can,2.0
659,Ground Beef Tacos,8.19
660,Steak Burrito,8.29
661,Can,2.0
662,Steak Tacos,8.29
663,Ground Beef Bowl,8.19
664,Tortilla Chips,2.19
665,16oz Cup,2.09
666,Ground Beef Salad,8.19
667,Steak Salad,8.29
668,16oz Cup,2.09
669,Vegetables Salad,7.29
670,Can,2.0
671,Ground Beef Bowl,8.19
672,Tortilla Chips,2.19
673,Can,2.0
674,Ground Beef Tacos,8.19
675,16oz Cup,2.09
676,Steak Salad,8.29
677,Vegetables Tacos,7.29
678,Chicken Burrito,7.29
679,Chicken Burrito,7.29
680,Tortilla Chips,2.19
681,32oz Cup,2.29
682,Steak Burrito,8.29
683,Can,2.0
684,Steak Salad,8.29
685,Tortilla Chips,2.19
686,32oz Cup,2.29
687,Chicken Salad,7.29
688,Tortilla Chips,2.19
689,16oz Cup,2.09
690,Ground Beef Tacos,8.19
691,Steak Salad,8.29
692,Steak Salad,8.29
693,16oz Cup,2.09
694,Ground Beef Burrito,8.19
695,16oz Cup,2.09
696,Chicken Burrito,7.29
697,Tortilla Chips,2.19
698,Can,2.0
699,Vegetables Tacos,7.29
700,Tortilla Chips,2.19
701,16oz Cup,2.09
702,Chicken Salad,7.29
703,Ground Beef Burrito,8.19
704,32oz Cup,2.29
705,Chicken Bowl,7.29
706,Tortilla Chips,2.19
707,Can,2.0
708,Ground Beef Bowl,8.19
709,16oz Cup,2.09
710,Vegetables Salad,7.29
711,Can,2.0
712,Ground Beef Bowl,8.19
713,Steak Tacos,8.29
714,16oz Cup,2.09
715,Ground Beef Bowl,8.19
716,Can,2.0
717,Vegetables Burrito,7.29
718,Ground Beef Burrito,8.19
719,Can,2.0
720,Chicken Bowl,7.29
721,Steak Burrito,8.29
722,Tortilla Chips,2.19
723,Can,2.0
724,Vegetables Bowl,7.29
725,Can,2.0
726,Vegetables Burrito,7.29
727,32oz Cup,2.29
728,Vegetables Salad,7.29
729,Ground Beef Burrito,8.19
730,Ground Beef Burrito,8.19
731,Can,2.0
732,Steak Salad,8.29
733,Tortilla Chips,2.19
734,Can,2.0
735,Vegetables Salad,7.29
736,Chicken Bowl,7.29
737,16oz Cup,2.09
738,Ground Beef Tacos,8.19
739,16oz Cup,2.09
740,Ground Beef Tacos,8.19
741,16oz Cup,2.09
742,Steak Salad,8.29
743,Tortilla Chips,2.19
744,32oz Cup,2.29
745,Chicken Burrito,7.29
746,16oz Cup,2.09
747,Chicken Tacos,7.29
748,Steak Burrito,8.29
749,Vegetables Bowl,7.29
750,Chicken Burrito,7.29
751,32oz Cup,2.29
752,Ground Beef Tacos,8.19
753,16oz Cup,2.09
754,Vegetables Salad,7.29
755,32oz Cup,2.29
756,Ground Beef Tacos,8.19
757,Chicken Burrito,7.29
758,Chicken Burrito,7.29
759,Can,2.0
760,Ground Beef Burrito,8.19
761,16oz Cup,2.09
762,Ground Beef Tacos,8.19
763,Can,2.0
764,Vegetables Salad,7.29
765,Can,2.0
766,Steak Tacos,8.29
767,16oz Cup,2.09
768,Ground Beef Tacos,8.19
769,Tortilla Chips,2.19
770,16oz Cup,2.09
771,Ground Beef Tacos,8.19
772,16oz Cup,2.09
773,Chicken Salad,7.29
774,Vegetables Salad,7.29
775,Can,2.0
776,Steak Burrito,8.29
777,16oz Cup,2.09
778,Ground Beef Burrito,8.19
779,Tortilla Chips,2.19
780,Can,2.0
781,Vegetables Burrito,7.29
782,Can,2.0
783,Chicken Bowl,7.29
784,16oz Cup,2.09
785,Chicken Salad,7.29
786,32oz Cup,2.29
787,Ground Beef Tacos,8.19
788,Can,2.0
789,Steak Bowl,8.29
790,Chicken Bowl,7.29
791,Can,2.0
792,Vegetables Salad,7.29
793,16oz Cup,2.09
794,Steak Burrito,8.29
795,Steak Bowl,8.29
796,32oz Cup,2.29
797,Vegetables Burrito,7.29
798,32oz Cup,2.29
799,Steak Salad,8.29
800,32oz Cup,2.29
801,Steak Bowl,8.29
802,Chicken Tacos,7.29
803,Vegetables Bowl,7.29
804,16oz Cup,2.09
805,Vegetables Bowl,7.29
806,16oz Cup,2.09
807,Ground Beef Tacos,8.19
808,Chicken Burrito,7.29
809,Vegetables Bowl,7.29
810,32oz Cup,2.29
811,Chicken Salad,7.29
812,Tortilla Chips,2.19
813,Can,2.0
814,Vegetables Bowl,7.29
815,Tortilla Chips,2.19
816,32oz Cup,2.29
817,Steak Bowl,8.29
818,Tortilla Chips,2.19
819,16oz Cup,2.09
820,Steak Bowl,8.29
821,Tortilla Chips,2.19
822,Can,2.0
823,Steak Bowl,8.29
824,Steak Salad,8.29
825,Tortilla Chips,2.19
826,Can,2.0
827,Chicken Tacos,7.29
828,Vegetables Tacos,7.29
829,Chicken Bowl,7.29
830,32oz Cup,2.29
831,Ground Beef Salad,8.19
832,32oz Cup,2.29
833,Chicken Burrito,7.29
834,16oz Cup,2.09
835,Vegetables Salad,7.29
836,16oz Cup,2.09
837,Vegetables Bowl,7.29
838,Can,2.0
839,Ground Beef Bowl,8.19
840,Tortilla Chips,2.19
841,Can,2.0
842,Chicken Bowl,7.29
843,Can,2.0
844,Vegetables Tacos,7.29
845,16oz Cup,2.09
846,Chicken Salad,7.29
847,Vegetables Burrito,7.29
848,Ground Beef Tacos,8.19
849,Ground Beef Tacos,8.19
850,Ground Beef Salad,8.19
851,Tortilla Chips,2.19
852,32oz Cup,2.29
853,Ground Beef Salad,8.19
854,Chicken Tacos,7.29
855,Ground Beef Bowl,8.19
856,Tortilla Chips,2.19
857,16oz Cup,2.09
858,Chicken Bowl,7.29
859,Vegetables Burrito,7.29
860,Can,2.0
861,Vegetables Bowl,7.29
862,16oz Cup,2.09
863,Steak Tacos,8.29
864,Can,2.0
865,Vegetables Salad,7.29
866,Can,2.0
867,Chicken Burrito,7.29
868,Vegetables Salad,7.29
869,Ground Beef Burrito,8.19
870,Steak Bowl,8.29
871,32oz Cup,2.29
872,Ground Beef Salad,8.19
873,16oz Cup,2.09
874,Steak Tacos,8.29
875,Chicken Burrito,7.29
876,Ground Beef Salad,8.19
877,Steak Burrito,8.29
878,Ground Beef Salad,8.19
879,16oz Cup,2.09
880,Vegetables Salad,7.29
881,Chicken Bowl,7.29
882,Can,2.0
883,Chicken Bowl,7.29
884,Chicken Salad,7.29
885,Chicken Burrito,7.29
886,Chicken Burrito,7.29
887,Ground Beef Tacos,8.19
888,Ground Beef Bowl,8.19
889,Tortilla Chips,2.19
890,16oz Cup,2.09
891,Ground Beef Salad,8.19
892,16oz Cup,2.09
893,Steak Bowl,8.29
894,16oz Cup,2.09
895,Chicken Burrito,7.29
896,Tortilla Chips,2.19
897,32oz Cup,2.29
898,Vegetables Salad,7.29
899,Vegetables Salad,7.29
900,16oz Cup,2.09
901,Vegetables Bowl,7.29
902,Tortilla Chips,2.19
903,Can,2.0
904,Vegetables Bowl,7.29
905,16oz Cup,2.09
906,Chicken Salad,7.29
907,Chicken Salad,7.29
908,Vegetables Tacos,7.29
909,Steak Tacos,8.29
910,Steak Tacos,8.29
911,Steak Tacos,8.29
912,Tortilla Chips,2.19
913,32oz Cup,2.29
914,Vegetables Bowl,7.29
915,Vegetables Burrito,7.29
916,Ground Beef Salad,8.19
917,32oz Cup,2.29
918,Steak Burrito,8.29
919,Chicken Salad,7.29
920,Vegetables Salad,7.29
921,Tortilla Chips,2.19
922,Can,2.0
923,Chicken Salad,7.29
924,Chicken Tacos,7.29
925,Tortilla Chips,2.19
926,32oz Cup,2.29
927,Steak Bowl,8.29
928,Tortilla Chips,2.19
929,32oz Cup,2.29
930,Vegetables Burrito,7.29
931,Chicken Burrito,7.29
932,Steak Tacos,8.29
933,Tortilla Chips,2.19
934,16oz Cup,2.09
935,Steak Bowl,8.29
936,16oz Cup,2.09
937,Chicken Tacos,7.29
938,Ground Beef Salad,8.19
939,Steak Burrito,8.29
940,32oz Cup,2.29
941,Chicken Bowl,7.29
942,Can,2.0
943,Ground Beef Tacos,8.19
944,Steak Bowl,8.29
945,32oz Cup,2.29
946,Ground Beef Burrito,8.19
947,Tortilla Chips,2.19
948,16oz Cup,2.09
949,Vegetables Bowl,7.29
950,Can,2.0
951,Vegetables Burrito,7.29
952,Can,2.0
953,Ground Beef Salad,8.19
954,16oz Cup,2.09
955,Ground Beef Burrito,8.19
956,16oz Cup,2.09
957,Vegetables Burrito,7.29
958,Can,2.0
959,Vegetables Salad,7.29
960,Chicken Salad,7.29
961,Chicken Bowl,7.29
962,Chicken Bowl,7.29
963,Ground Beef Burrito,8.19
964,Tortilla Chips,2.19
965,Can,2.0
966,Ground Beef Salad,8.19
967,Ground Beef Salad,8.19
968,Tortilla Chips,2.19
969,32oz Cup,2.29
970,Steak Burrito,8.29
971,Tortilla Chips,2.19
972,Can,2.0
973,Ground Beef Tacos,8.19
974,16oz Cup,2.09
975,Ground Beef Tacos,8.19
976,Tortilla Chips,2.19
977,32oz Cup,2.29
978,Vegetables Bowl,7.29
979,Can,2.0
980,Ground Beef Burrito,8.19
981,32oz Cup,2.29
982,Ground Beef Tacos,8.19
983,Chicken Bowl,7.29
984,32oz Cup,2.29
985,Ground Beef Salad,8.19
986,16oz Cup,2.09
987,Chicken Burrito,7.29
988,32oz Cup,2.29
989,Steak Bowl,8.29
990,Steak Salad,8.29
991,Chicken Salad,7.29
992,Chicken Tacos,7.29
993,Tortilla Chips,2.19
994,32oz Cup,2.29
